"","x"
"1","FBgn0031208"
"2","FBgn0002121"
"3","FBgn0031216"
"4","FBgn0031217"
"5","FBgn0026787"
"6","FBgn0005278"
"7","FBgn0031228"
"8","FBgn0031229"
"9","FBgn0001142"
"10","FBgn0031224"
"11","FBgn0259818"
"12","FBgn0031227"
"13","FBgn0053635"
"14","FBgn0031231"
"15","FBgn0031233"
"16","FBgn0086902"
"17","FBgn0022246"
"18","FBgn0031238"
"19","FBgn0031239"
"20","FBgn0031244"
"21","FBgn0031245"
"22","FBgn0024352"
"23","FBgn0020622"
"24","FBgn0000061"
"25","FBgn0003278"
"26","FBgn0015567"
"27","FBgn0031252"
"28","FBgn0002593"
"29","FBgn0031255"
"30","FBgn0004583"
"31","FBgn0031256"
"32","FBgn0043364"
"33","FBgn0010602"
"34","FBgn0031261"
"35","FBgn0005660"
"36","FBgn0260933"
"37","FBgn0031263"
"38","FBgn0031264"
"39","FBgn0031265"
"40","FBgn0021874"
"41","FBgn0031266"
"42","FBgn0031267"
"43","FBgn0010323"
"44","FBgn0031273"
"45","FBgn0000497"
"46","FBgn0011244"
"47","FBgn0031279"
"48","FBgn0000442"
"49","FBgn0031282"
"50","FBgn0031283"
"51","FBgn0031284"
"52","FBgn0015621"
"53","FBgn0031285"
"54","FBgn0031286"
"55","FBgn0010583"
"56","FBgn0031287"
"57","FBgn0029095"
"58","FBgn0020305"
"59","FBgn0028481"
"60","FBgn0031294"
"61","FBgn0031296"
"62","FBgn0031298"
"63","FBgn0031299"
"64","FBgn0261938"
"65","FBgn0031304"
"66","FBgn0031308"
"67","FBgn0031309"
"68","FBgn0031310"
"69","FBgn0261458"
"70","FBgn0031312"
"71","FBgn0024314"
"72","FBgn0031318"
"73","FBgn0031319"
"74","FBgn0031321"
"75","FBgn0031322"
"76","FBgn0041097"
"77","FBgn0002543"
"78","FBgn0031343"
"79","FBgn0261509"
"80","FBgn0051935"
"81","FBgn0021906"
"82","FBgn0011570"
"83","FBgn0031356"
"84","FBgn0031357"
"85","FBgn0031359"
"86","FBgn0260648"
"87","FBgn0031361"
"88","FBgn0051933"
"89","FBgn0031367"
"90","FBgn0031375"
"91","FBgn0031376"
"92","FBgn0031378"
"93","FBgn0031379"
"94","FBgn0001125"
"95","FBgn0031381"
"96","FBgn0053543"
"97","FBgn0031384"
"98","FBgn0003557"
"99","FBgn0053516"
"100","FBgn0031388"
"101","FBgn0031389"
"102","FBgn0004507"
"103","FBgn0027509"
"104","FBgn0031392"
"105","FBgn0051668"
"106","FBgn0053124"
"107","FBgn0031397"
"108","FBgn0010288"
"109","FBgn0010704"
"110","FBgn0262126"
"111","FBgn0051679"
"112","FBgn0052463"
"113","FBgn0051682"
"114","FBgn0031407"
"115","FBgn0054049"
"116","FBgn0028570"
"117","FBgn0031412"
"118","FBgn0031413"
"119","FBgn0031414"
"120","FBgn0014010"
"121","FBgn0261647"
"122","FBgn0031419"
"123","FBgn0031421"
"124","FBgn0031422"
"125","FBgn0031428"
"126","FBgn0015816"
"127","FBgn0031431"
"128","FBgn0031432"
"129","FBgn0041337"
"130","FBgn0026778"
"131","FBgn0031436"
"132","FBgn0031437"
"133","FBgn0026479"
"134","FBgn0031441"
"135","FBgn0031442"
"136","FBgn0031443"
"137","FBgn0051690"
"138","FBgn0031450"
"139","FBgn0031451"
"140","FBgn0031452"
"141","FBgn0250906"
"142","FBgn0031454"
"143","FBgn0031456"
"144","FBgn0031458"
"145","FBgn0026324"
"146","FBgn0019830"
"147","FBgn0028398"
"148","FBgn0031459"
"149","FBgn0031460"
"150","FBgn0004242"
"151","FBgn0031464"
"152","FBgn0031465"
"153","FBgn0031466"
"154","FBgn0031468"
"155","FBgn0031469"
"156","FBgn0031470"
"157","FBgn0031471"
"158","FBgn0031472"
"159","FBgn0031473"
"160","FBgn0015521"
"161","FBgn0051694"
"162","FBgn0031478"
"163","FBgn0031479"
"164","FBgn0024947"
"165","FBgn0010263"
"166","FBgn0024920"
"167","FBgn0004584"
"168","FBgn0031485"
"169","FBgn0250786"
"170","FBgn0002989"
"171","FBgn0025681"
"172","FBgn0031488"
"173","FBgn0031489"
"174","FBgn0031492"
"175","FBgn0031493"
"176","FBgn0031494"
"177","FBgn0031497"
"178","FBgn0031500"
"179","FBgn0042627"
"180","FBgn0027571"
"181","FBgn0260817"
"182","FBgn0051953"
"183","FBgn0031513"
"184","FBgn0031514"
"185","FBgn0031518"
"186","FBgn0031519"
"187","FBgn0016698"
"188","FBgn0031530"
"189","FBgn0031533"
"190","FBgn0031534"
"191","FBgn0031535"
"192","FBgn0031536"
"193","FBgn0031537"
"194","FBgn0021967"
"195","FBgn0031540"
"196","FBgn0051956"
"197","FBgn0014396"
"198","FBgn0053123"
"199","FBgn0031544"
"200","FBgn0031550"
"201","FBgn0024244"
"202","FBgn0015663"
"203","FBgn0000721"
"204","FBgn0015376"
"205","FBgn0031566"
"206","FBgn0003386"
"207","FBgn0031571"
"208","FBgn0003430"
"209","FBgn0004567"
"210","FBgn0031574"
"211","FBgn0031575"
"212","FBgn0051957"
"213","FBgn0051774"
"214","FBgn0051773"
"215","FBgn0000547"
"216","FBgn0031585"
"217","FBgn0051961"
"218","FBgn0031589"
"219","FBgn0001075"
"220","FBgn0031590"
"221","FBgn0003941"
"222","FBgn0026319"
"223","FBgn0031598"
"224","FBgn0261976"
"225","FBgn0031600"
"226","FBgn0022153"
"227","FBgn0031603"
"228","FBgn0031604"
"229","FBgn0025684"
"230","FBgn0031606"
"231","FBgn0031607"
"232","FBgn0040705"
"233","FBgn0261606"
"234","FBgn0031611"
"235","FBgn0053196"
"236","FBgn0031617"
"237","FBgn0031623"
"238","FBgn0031627"
"239","FBgn0031628"
"240","FBgn0031631"
"241","FBgn0031633"
"242","FBgn0031634"
"243","FBgn0031635"
"244","FBgn0031637"
"245","FBgn0031639"
"246","FBgn0031640"
"247","FBgn0051660"
"248","FBgn0031643"
"249","FBgn0031651"
"250","FBgn0015000"
"251","FBgn0031655"
"252","FBgn0015834"
"253","FBgn0262467"
"254","FBgn0031657"
"255","FBgn0031660"
"256","FBgn0031661"
"257","FBgn0031662"
"258","FBgn0031663"
"259","FBgn0083962"
"260","FBgn0031668"
"261","FBgn0031670"
"262","FBgn0016075"
"263","FBgn0000299"
"264","FBgn0031673"
"265","FBgn0022023"
"266","FBgn0031677"
"267","FBgn0261608"
"268","FBgn0031681"
"269","FBgn0031684"
"270","FBgn0031688"
"271","FBgn0031689"
"272","FBgn0031692"
"273","FBgn0000228"
"274","FBgn0031696"
"275","FBgn0016076"
"276","FBgn0031698"
"277","FBgn0031703"
"278","FBgn0016920"
"279","FBgn0016660"
"280","FBgn0261963"
"281","FBgn0031707"
"282","FBgn0031708"
"283","FBgn0000318"
"284","FBgn0031710"
"285","FBgn0031711"
"286","FBgn0051989"
"287","FBgn0031715"
"288","FBgn0051648"
"289","FBgn0051915"
"290","FBgn0031713"
"291","FBgn0014189"
"292","FBgn0002525"
"293","FBgn0031717"
"294","FBgn0031725"
"295","FBgn0051646"
"296","FBgn0031728"
"297","FBgn0031729"
"298","FBgn0031730"
"299","FBgn0024191"
"300","FBgn0031736"
"301","FBgn0031735"
"302","FBgn0085410"
"303","FBgn0031745"
"304","FBgn0043362"
"305","FBgn0001128"
"306","FBgn0031753"
"307","FBgn0031757"
"308","FBgn0031758"
"309","FBgn0000308"
"310","FBgn0001942"
"311","FBgn0001941"
"312","FBgn0031759"
"313","FBgn0031760"
"314","FBgn0001089"
"315","FBgn0031764"
"316","FBgn0031765"
"317","FBgn0025742"
"318","FBgn0031766"
"319","FBgn0000052"
"320","FBgn0031768"
"321","FBgn0031770"
"322","FBgn0031771"
"323","FBgn0031772"
"324","FBgn0031776"
"325","FBgn0031777"
"326","FBgn0028419"
"327","FBgn0031779"
"328","FBgn0051642"
"329","FBgn0031781"
